0 13304
3336 -8256 13260
3376 -8260 13380
3308 -8140 13240
3288 -8280 13236
3316 -8180 13364
3268 -8132 13348
3416 -8120 13408
3292 -8208 13324
3312 -8108 13384
3348 -8172 13372
3224 -8232 13220
3332 -8180 13352
3376 -8164 13332
3484 -8236 13284
3268 -8192 13320
3364 -8152 13300
3304 -8172 13188
3208 -8152 13252
3072 -8160 13380
3188 -8096 13412
3060 -8088 13328
3128 -8108 13280
3056 -7988 13452
3004 -8020 13372
3160 -8096 13284
3276 -8104 13424
3248 -8200 13384
3260 -8036 13332
3276 -8192 13300
3344 -8100 13376
3320 -8072 13516
3316 -8152 13168
3372 -8168 13340
3388 -8188 13380
3348 -8304 13248
3388 -8008 13592
3300 -8120 13124
3328 -8156 13444
3288 -8260 13384
3168 -8188 13240
3124 -8072 13316
3292 -7988 13480
3216 -7936 13476
3224 -7964 13420
3376 -7984 13332
3228 -8128 13352
3368 -8220 13240
3136 -8396 13396
3356 -8296 13464
3312 -8144 13292
3264 -8016 13304
3368 -8112 13460
3308 -7876 13340
3420 -7768 13536
3368 -7816 13476
3368 -7684 13448
3244 -7880 13292
3512 -8436 12860
3556 -8616 12772
3444 -8304 13360
3356 -8428 12860
3484 -9084 13468
3520 -8660 12896
3580 -8292 13184
3652 -8740 13252
3860 -8872 12872
3648 -8856 13044
3412 -8988 12972
3872 -8152 13076
4056 -8608 13036
3992 -9228 13400
3960 -8104 13112
3840 -7604 13228
4320 -8352 13092
4620 -8832 12660
4604 -8932 13236
4376 -8848 12908
4328 -8568 12956
4284 -8632 13108
4620 -8872 12956
4916 -8784 13176
4736 -8788 13180
4080 -8344 13368
4272 -7956 13184
4296 -7752 13364
4264 -7792 13184
4244 -7644 13288
4192 -7604 13480
4260 -7720 13196
4484 -7372 13540
5024 -7084 13376
5472 -7132 13648
5528 -7928 12672
5060 -8280 12552
5536 -8404 13408
6228 -8148 14708
6284 -7904 13436
5268 -7944 11628
5692 -7116 12224
6092 -6472 13184
5832 -7536 14084
6952 -7156 13096
6904 -7112 12404
7256 -7316 12616
7356 -6532 14968
7600 -5568 12812
7552 -4512 10912
7380 -6424 14616
6728 -7548 14136
7668 -6072 12812
6328 -3824 12072
4732 -5048 12048
6252 -4276 11520
4912 -8100 13744
5096 -8424 12060
4656 -9496 9384
4832 -13348 12772
5568 -6652 9660
5300 -10632 11976
4404 -8920 14748
4196 -8224 16984
5504 -7180 17936
10212 -3652 18484
8476 -112 14220
7112 -1756 12576
7260 -3116 14628
5884 -3884 13044
7476 -6592 14620
6120 -5888 13120
4296 -2980 13616
3180 -3436 11392
6140 -6712 13544
8516 -6648 15276
6456 -7192 13232
3776 -6296 14624
5124 -7980 10688
4172 -9648 12704
4276 -11164 15008
1144 -9108 13284
1284 -5780 13372
1768 -8348 14092
2864 -10732 11808
2956 -12052 15288
5188 -10644 12872
3924 -11788 11372
1112 -12728 11848
2244 -7852 10580
3272 -6296 15584
1120 3376 20008
1084 6992 15592
272 3372 22076
376 864 19208
-1676 -2680 16752
612 -6284 14704
540 -7064 10920
2368 -7820 15224
1400 -11220 19900
-2828 -7696 10576
4508 -8280 12804
6044 -5832 15064
4340 -4608 13232
5736 -6000 12592
4560 -3804 10588
524 -5068 18800
6256 520 22664
1852 -2800 15056
-1936 -9620 17064
4768 2472 14904
6452 -5832 11892
